"","text","emotion","polarity","result"
"1","virginamerica what dhepburn said","unknown","positive","neutral"
"2","virginamerica plus youve added commercials to the experience tacky","unknown","positive","positive"
"3","virginamerica i didnt today must mean i need to take another trip","unknown","negative","neutral"
"4","virginamerica its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse","anger","negative","negative"
"5","virginamerica and its a really big bad thing about it","sadness","negative","negative"
"6","virginamerica seriously would paya flight for seats that didnt have this playingits really the only bad thing about flying va","sadness","negative","negative"
"7","virginamerica yes nearly every time i fly vx this ‚Äúear worm‚Äù won‚Äôt go away","unknown","positive","positive"
"8","virginamerica really missed a prime opportunity for men without hats parody there","unknown","neutral","neutral"
"9","virginamerica well i didnt‚Äbut now i do d","unknown","positive","positive"
"10","virginamerica it was amazing and arrived an hour early youre too good to me","joy","positive","positive"
"11","virginamerica did you know that suicide is the second leading cause of death among teens","unknown","neutral","neutral"
"12","virginamerica i lt pretty graphics so much better than minimal iconography d","unknown","positive","positive"
"13","virginamerica this is such a great deal already thinking about my nd trip to australia amp i havent even gone on my st trip yet p","joy","positive","positive"
"14","virginamerica virginmedia im flying your fabulous seductive skies again u take all the stress away from travel","unknown","neutral","positive"
"15","virginamerica thanks","unknown","positive","positive"
"16","virginamerica sfopdx schedule is still mia","unknown","positive","negative"
"17","virginamerica so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america daystogo","joy","negative","positive"
"18","virginamericai flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help","unknown","neutral","negative"
"19","i ‚ùÔè flying virginamerica ‚òÔèˇëç","unknown","positive","positive"
"20","virginamerica you know what would be amazingly awesome bosfll please i want to fly with only you","joy","positive","positive"
"21","virginamerica why are your first fares in may over three times more than other carriers when all seats are available to select","unknown","positive","negative"
"22","virginamerica i love this graphic","joy","positive","positive"
"23","virginamerica i love the hipster innovation you are a feel good brand","joy","positive","positive"
"24","virginamerica will you be making bosgtlas non stop permanently anytime soon","surprise","positive","neutral"
"25","virginamerica you guys messed up my seating i reserved seating with my friends and you guys gave my seat awayˇò i want free internet","unknown","positive","negative"
"26","virginamerica status match programi applied and its been three weekscalled and emailed with no response","unknown","positive","negative"
"27","virginamerica what happenedur vegan food options at least say on ur site so i know i wont be ableeat anything for nexthrs fail","unknown","negative","negative"
"28","virginamerica do you miss me dont worry well be together very soon","joy","negative","neutral"
"29","virginamerica amazing to me that we cant get any cold air from the vents vx noair worstflightever roasted sfotobos","surprise","negative","negative"
"30","virginamerica lax to ewrmiddle seat on a red eye such a noob maneuver sendambien andchexmix","unknown","negative","neutral"
"31","virginamerica hi i just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during flight booking problems ˇò","unknown","negative","negative"
"32","virginamerica are the hours of operation for the club at sfo that are posted online current","unknown","positive","neutral"
"33","virginamerica help left expensive headphones on flightiad to lax today seat a no one answering lampf number at lax","unknown","negative","negative"
"34","virginamerica awaiting my return phone call just would prefer to use your online selfservice option","joy","neutral","negative"
"35","virginamerica this is great newsamerica could start flights to hawaii by end of yearvia pacificbiznews","joy","positive","positive"
"36","nice rt virginamerica vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience","unknown","positive","neutral"
"37","virginamerica moodlighting is the only way to fly best experience ever cool and calming ˇíú‚úà moodlitmonday","unknown","positive","positive"
"38","virginamerica freddieawards done and done best airline around hands down","unknown","positive","positive"
"39","virginamerica when can i book my flight to hawaii","unknown","negative","neutral"
"40","virginamerica your chat support is not working on your site","unknown","positive","negative"
"41","virginamerica view of downtown los angeles the hollywood sign and beyond that rain in the mountains","unknown","positive","positive"
"42","virginamerica hey first time flyer next weekexcited but im having a hard time getting my flights added to my elevate account help","unknown","negative","negative"
"43","virginamerica plz help me win my bid upgrade for my flightlaxgtseaˇçˇëçˇí‚úàÔè","unknown","neutral","neutral"
"44","virginamerica i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires travelhelp","unknown","positive","neutral"
"45","virginamerica are flights leaving dallas for seattle on time feb","unknown","positive","neutral"
"46","virginamerica im elevategold for a good reason you rock","joy","neutral","positive"
"47","virginamericadream","unknown","positive","neutral"
"48","virginamerica wow this just blew my mind","unknown","positive","positive"
"49","virginamerica ladygaga carrieunderwood after last night tribute soundofmusic oscars ladygaga i think carrieunderwood agree","unknown","positive","neutral"
"50","virginamerica ladygaga carrieunderwood all were entertaining","unknown","positive","neutral"
"51","virginamerica is flighton its way was supposed to take offminutes ago website still shows on time not in flight thanks","unknown","negative","neutral"
"52","virginamerica ladygaga carrieunderwood julie andrews all the way though ladygaga was very impressive no to carrieunderwood","unknown","neutral","positive"
"53","virginamerica wish you flew out of atlanta soon","unknown","positive","neutral"
"54","virginamerica ladygaga carrieunderwood julie andrews hands down","unknown","positive","neutral"
"55","virginamerica will flights be leaving dallas for la on february th","unknown","positive","neutral"
"56","virginamerica hi im so excited about yourlgagtdal deal but ive been tryingbook since last week amp the page never loads thx","unknown","neutral","negative"
"57","virginamerica you know it need it on my spotify stat guiltypleasures","unknown","neutral","positive"
"58","virginamerica ladygaga carrieunderwoodim lady gaga she is amazing ˇòö","surprise","neutral","positive"
"59","virginamerica ladygaga carrieunderwoodcarrie","unknown","positive","neutral"
"60","virginamerica new marketing songlet us know what you think","unknown","positive","neutral"
"61","virginamerica ladygaga carrieunderwood julie andrews first but lady gaga wowd me last night carrie meh","unknown","negative","neutral"
"62","virginamerica i called aweeks ago about addingflights fromto my elevatethey still havent shown uphelp","unknown","positive","negative"
"63","virginamerica ladygaga carrieunderwood all are greatbut i have to go with carrieunderwood ˇòçˇëú","unknown","positive","neutral"
"64","virginamerica ladygaga carrieunderwood sorry mary martin had it first","sadness","negative","neutral"
"65","virginamerica ladygaga carrieunderwoodlove all three but you really cant beat the classics","surprise","positive","positive"
"66","virginamerica flightdal to dcapm tried to check in could not status please","joy","positive","neutral"
"67","virginamerica heyyyy guyyyys been trying to get through for an hour can someone call me please","joy","negative","negative"
"68","virginamerica hi virgin im on hold forminutesare there any earlier flights from la to nyc tonight earlier than pm","unknown","positive","negative"
"69","virginamerica congrats on winning the travelzoo award for best deals from an airline us","unknown","positive","positive"
"70","virginamerica everything was fine until you lost my bag","unknown","neutral","negative"
"71","virginamerica need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online","unknown","negative","neutral"
"72","virginamerica i emailed your customer service team let me know if you need the tracking number","unknown","neutral","neutral"
"73","virginamerica hi i just booked a flight but need to add baggage how can i do this","unknown","negative","neutral"
"74","virginamerica your airline is awesome but your lax loft needs to step up its gamefor dirty tables and floors","unknown","neutral","negative"
"75","virginamerica not worried its been a great ride in a new plane with great crew all airlines should be like this","joy","neutral","positive"
"76","virginamerica awesome i flew yall sat morning any way we can correct my bill","unknown","neutral","positive"
"77","virginamerica or watch some of the best student films in the country atfeet cmfatfeet","unknown","neutral","neutral"
"78","virginamerica first time flying you all do you have a different ratepolicy for media bags thanks","unknown","positive","neutral"
"79","virginamerica what is going on with customer service is there anyway to speak to a human asap thank you","unknown","positive","negative"
"80","virginamerica what happened to doom","unknown","negative","neutral"
"81","virginamerica why cant you supp the biz traveler like southwestairand have customer service like jetblue neverflyvirginforbusiness","joy","neutral","negative"
"82","virginamerica ive applied more then once to be a member of the inflight crew teamiminterested flightattendant dreampath g","unknown","positive","positive"
"83","virginamerica youre the best whenever i begrudgingly use any other airline im delayed and late flight","unknown","neutral","negative"
"84","virginamerica i have no interesting flying with you after this i will cancelled flight my next four flights i plannedneverflyvirginforbusiness","unknown","neutral","negative"
"85","virginamerica it was a disappointing experience which will be shared with every business traveler i meet neverflyvirgin","unknown","neutral","negative"
"86","virginamerica i‚Äôm having trouble adding this flight my wife booked to my elevate account help","unknown","negative","negative"
"87","virginamerica cant bring up my reservation online using flight booking problems code","unknown","negative","neutral"
"88","virginamerica random q whats the distribution of elevate avatars i bet that kitty has a disproportionate share","unknown","neutral","neutral"
"89","virginamerica i lt flying va but life happens and i am trying to change my trip jperhican you helpva home page will not let me","unknown","neutral","neutral"
"90","virginamerica why is the site downwhen will it be back up","unknown","positive","negative"
"91","virginamerica you down with rnp yeah you know me","unknown","positive","neutral"
"92","virginamerica hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account","sadness","negative","neutral"
"93","virginamerica i like the tv and interesting videojust disappointed in cancelled flightled flight when other flights went out to jfk on saturday","joy","negative","negative"
"94","virginamerica just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly nomorevirgin","joy","negative","negative"
"95","virginamerica why is flightredirected","unknown","positive","neutral"
"96","virginamerica is it me or is your website downbtw your new website isnt a great user experiencetime for another redesign","joy","positive","negative"
"97","virginamerica i cant check in or add a bag your website isnt working ive tried both desktop and mobile","unknown","positive","negative"
"98","virginamericaletscanned in passengers leave the plane than told someone to remove their bag from st class bin uncomfortable","unknown","neutral","negative"
"99","virginamerica what is your phone number i cant find who to call about a flight reservation","unknown","negative","negative"
"100","virginamerica is anyone doing anything there todaywebsite is useless and no one is answering the phone","unknown","negative","negative"
"101","virginamerica trying to add my boy prince to my ressie sf this thursday virginamerica from lax","unknown","negative","neutral"
"102","virginamerica why must a traveler miss a flight to late flight check a bagi missed my morning appointments and you lost my business sfolax","unknown","negative","negative"
"103","virginamerica check out new music","unknown","positive","neutral"
"104","virginamerica hows a direct flight fllgtsfo have unexpected layover in vegasfuel yet peeps next to me bought for vegas flight sneaky","unknown","negative","negative"
"105","virginamerica your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp","unknown","negative","negative"
"106","virginamericaamazing customerservice again ˇíïˇíï raeann in sfshes the best customerservice virginamerica flying","unknown","positive","positive"
"107","virginamerica called your service line and was hung up on this is awesome sarcasm","unknown","neutral","negative"
"108","virginamerica your site is tripping im trying to check in and im getting the plain text version i am reluctant to enter any card info","unknown","negative","negative"
"109","virginamerica i was scheduled for sfodal flighttoday changed to th due weather looks like flight still on","joy","neutral","neutral"
"110","virginamerica has getaway deals through may fromoneway lots of cool citiescheapflights farecompare","unknown","positive","positive"
"111","virginamerica has getaway deals through may fromoneway lots of cool citiescheapflights farecompare","unknown","positive","neutral"
"112","virginamerica has getaway deals through may fromoneway lots of cool citiescheapflights farecompare","unknown","positive","positive"
"113","virginamerica has getaway deals through may fromoneway lots of cool citiescheapflights farecompare","unknown","positive","neutral"
"114","virginamerica have a great week ˇúû‚úà","joy","positive","positive"
"115","virginamerica come back to phl already we need you to take us out of this horrible cold pleasecomeback","fear","negative","positive"
"116","virginamerica should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop","unknown","negative","negative"
"117","virginamerica is the best airline i have flown oneasy to change your reservationhelpful representatives amp a comfortable flying experience","joy","positive","positive"
"118","virginamerica and again another rep kicked butt naelah represents your team so beautifully thank you","unknown","positive","positive"
"119","virginamerica your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure","unknown","positive","positive"
"120","virginamerica love the team running gate e at las tonight waited for a delayed flight and they kept things entertaining","joy","neutral","positive"
"121","virginamerica use another browseramp a brand with a reputation built on tech response doesnt have a crossbrowser compatible website","joy","positive","negative"
"122","virginamerica and now the flight flight booking problems site is totally down folks what is the problem","unknown","negative","negative"
"123","virginamerica i like the customer service but amin delay just for connecting passengers seems too long va","joy","neutral","negative"
"124","virginamerica thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight","sadness","neutral","positive"
"125","virginamerica you have the absolute best team and customer service everevery time i fly with you im delightedthank you","unknown","positive","positive"
"126","virginamerica do you provide complimentary upgrades to first class if there are available seats","unknown","positive","neutral"
"127","virginamerica i need to change my flight thats scheduled inhours andmin wait time on phone im calling intern help","unknown","negative","negative"
"128","virginamerica completely awesome experience last month boslas nonstop thanks for such an awesome flight and depart time vabeatsjblue","unknown","negative","positive"
"129","virginamerica how can i watch the oscars on my jfkgtsfo flight","unknown","negative","neutral"
"130","virginamerica is flightcancelled flightled and what do i do if it is","unknown","positive","neutral"
"131","virginamerica you are failing your customers because your check in process does not link to tsa precheck","unknown","negative","negative"
"132","virginamerica fidifamilies us too terrible airline just gave us a hotel hotline number and said sorry","fear","negative","negative"
"133","virginamerica has flight numberfrom sfo to cabo san lucas arrived yet","unknown","negative","neutral"
"134","virginamerica chrysichrysic your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotlineshame on you","unknown","negative","negative"
